"Month","Trtmt","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","Total","padj","Minerals"
"73",2,"Ferrihydrite","67_3316",0.732783684121465,-3.81666733667488,2.03178060302667,0.0603149850301321,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,18848.5892299592,0.149504165021498,"Minerals"
"74",2,"Ferrihydrite","70_11260",8.56554712814789,6.15061796547601,2.37567468296002,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,18848.5892299592,NA,"Minerals"
"75",2,"Ferrihydrite","26_21429",5.23223595156104,4.52903362072029,1.25298502426532,0.000300817297488831,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,18848.5892299592,0.00292043459645407,"Minerals"
"76",2,"Ferrihydrite","80_733408",12.7922787327719,6.06902062042925,1.10161580779178,3.60470371471316e-08,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,18848.5892299592,1.19985137932595e-06,"Minerals"
"77",2,"Ferrihydrite","79_292",58.4435670263498,4.63971882508814,0.884387811744382,1.55226934212196e-07,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,18848.5892299592,4.2550441966402e-06,"Minerals"
"78",2,"Ferrihydrite","52_1238312",1.05067136408576,3.9384257969247,1.50843067872105,0.00902930688138083,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,18848.5892299592,0.046069237299892,"Minerals"
"79",2,"Ferrihydrite","72_41965",1.81431750910818,4.80977527564869,2.42142026180777,NA,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",NA,18848.5892299592,NA,"Minerals"
"80",2,"Ferrihydrite","89_2508",0.93982100577843,5.24168325445678,2.02754618024624,0.00973126593305308,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",NA,18848.5892299592,0.0484139137879295,"Minerals"
"81",2,"Ferrihydrite","70.2_32464",1.64060355208281,1.21708351149854,1.15464806832222,0.291849433847697,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,18848.5892299592,0.449953411444727,"Minerals"
"82",2,"Ferrihydrite","38_14291",1.91813021832395,0.907852625984678,1.39968801704993,0.516590036968298,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,18848.5892299592,0.641379104513037,"Minerals"
"83",2,"Ferrihydrite","67_11283",0.776282330780169,2.1451054313006,1.56705008859744,0.171036408187787,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,18848.5892299592,0.306549870059649,"Minerals"
"84",2,"Ferrihydrite","52_11300",0.915761650761049,0.291193442560029,1.49123045087736,0.845181123534184,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,18848.5892299592,0.901048553490507,"Minerals"
"85",2,"Ferrihydrite","23_11984",0.926587296051119,0.916309374454241,1.38231279678307,0.507406546353141,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,18848.5892299592,0.637335446362705,"Minerals"
"86",2,"Ferrihydrite","74.2_36807",0.930580547947372,2.61137087912975,1.43064351988911,0.0679539503706734,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,18848.5892299592,0.159932024609767,"Minerals"
